id,model,created_at,updated_at,name,description,price_currency,price,body_type,source,current_location,drive,mileage,mileage_unit,color,annual_insurance_currency,annual_insurance,year_of_manufacture,thumbnail,interior_features,engine_specifications,safety_features,fuel_consumption,availability,purchase_status,condition,duty_and_clearance_fee_currency,duty_and_clearance_fee,estimated_arrival_days,is_published,slug,agent_whatsapp_contact,uploaded_by
842,"{'id': 281, 'name': 'DBS', 'make': {'id': 31, 'name': 'Aston Martin'}}",2023-05-29T10:01:13.410870Z,2023-06-15T11:43:58.281832Z,Aston Martin DBS Superelegera,"Registration;2018/June

Heated and ventilated seats,cruise control,memory front seats and exterior mirror,diamond perforated leather seat inserts,dark grey anodised brake calipers",GBP,144079.00,Coupe,Foreign Used,United Kingdom,AWD,26750,KM,Yellow,KES,2250000.00,2018,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/72caf063-4557-468f-bdd2-9b11023e9780.jpeg,"{'sunroof': True, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Factory Sound system', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': True, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Apple Car play', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': True, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 900, 'cylinders': 8, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 5200, 'horse_power': 715, 'acceleration': 3, 'self_driving': True, 'self_parking': True, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': True, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 2, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 7, 'fuel_tank_capacity': None, 'highway_consumption': 9}",direct_import_stock,Available,Excellent,USD,,45.0,True,aston-martin-dbs-superelegera-y2yoa5b,+254737665566,6
1639,"{'id': 27, 'name': 'A3', 'make': {'id': 1, 'name': 'Audi'}}",2023-09-04T04:45:34.488112Z,2023-09-04T04:48:38.800584Z,Audi A3,"Multifunctional steering wheel,electric parking brake,parking sensors,lane assist,daytime running lights,cruise control",KES,1850000.00,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,142268,KM,White,KES,83250.00,2015,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/3990de8b-ad55-45d3-88cb-3928af8d9df2.jpeg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Plastic', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Premium Surround System', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Fabric', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': False, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 250, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Natural', 'speed_unit': 'Km/hr', 'engine_size': 1800, 'horse_power': 178, 'acceleration': 7, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 2, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 13}",sell_on_behalf,Available,Very Good,USD,,,True,audi-a3-qbr4xff,+254737665566,6
1618,"{'id': 29, 'name': 'A5', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-31T10:42:16.530650Z,2023-08-31T10:43:33.853611Z,Audi A5 SLine,"Multifunctional steering wheel,parking sensors,adaptive cruise control,side mirror indicators,leather seats,front powered seats,daytime running lights.",KES,3350000.00,Coupe,Foreign Used,"Nairobi, Kenya",AWD,57874,KM,white,KES,148500.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-31_at_12.28.01_OUhBF13.jpeg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Plastic', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': False, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 350, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 220, 'acceleration': 6.5, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 2, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 13}",available,Available,Excellent,USD,,,True,audi-a5-sline-aib6g0m,+254737665566,6
1615,"{'id': 5, 'name': 'A6', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-31T10:20:22.826864Z,2023-08-31T10:34:28.238926Z,Audi S6,"Registration ;2016/April

Panoramic sunroof , leather seats interior ,s bucket seats , Perfomance brakes , Autostart stop idling feature ,keyless entry , Rdar cruise control Running daytime lights",JPY,3378000.00,Hatchback,Foreign Used,Japan,AWD,116000,KM,Black,KES,280308.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-30_at_1.26.29_PM.jpeg,"{'sunroof': True, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 550, 'cylinders': 6, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 4000, 'horse_power': 450, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': None, 'hill_descent_control': False, 'road_sign_recognition': True, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 9, 'fuel_tank_capacity': None, 'highway_consumption': 12}",direct_import_stock,Available,Excellent,KES,2851072.00,45.0,True,audi-s6-pbybfnw,+254737665566,8
1614,"{'id': 5, 'name': 'A6', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-31T09:34:38.831219Z,2023-08-31T12:39:01.844630Z,Audi S6,"Registration ;2016

S Bucket seats ,Leather interior ,Multi-functional steering wheel ,Leather seats interior ,Keyless entry ,Rdar cruise control",JPY,3406597.00,Station Wagon,Foreign Used,Japan,AWD,106300,KM,Blue,KES,281595.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-30_at_1.28.15_PM.jpeg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 550, 'cylinders': 6, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 3000, 'horse_power': 450, 'acceleration': 6, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': False, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': None, 'hill_descent_control': False, 'road_sign_recognition': True, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': False, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 9, 'fuel_tank_capacity': None, 'highway_consumption': 12}",direct_import_stock,Available,Excellent,KES,2851072.00,45.0,True,audi-s6-jwerjyx,+254737665566,6
1607,"{'id': 12, 'name': 'Q5', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-30T16:09:37.716547Z,2023-08-30T16:11:32.460135Z,Audi Q5 Quattro S-Line,"Multifunctional steering wheel,half leather seats,adaptive cruise control,daytime running lights,parking sensors,lane assist",JPY,3177033.00,SUV,Foreign Used,Japan,AWD,55000,KM,white,KES,199408.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-29_at_22.08.14_1.jpeg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Plastic', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Semi Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': False, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 350, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 220, 'acceleration': 6, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 2, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 13}",direct_import_stock,Available,Excellent,KES,1254267.00,45.0,True,audi-q5-quattro-s-line-mxufwgr,+254737665566,6
1606,"{'id': 12, 'name': 'Q5', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-30T15:44:39.560442Z,2023-08-30T15:46:20.165806Z,Audi Q5 S-LINE,"🚨🚨AUCTION 31st August 2023🚨🚨

Registration; 2016/May

The indicated CIF price for auction vehicles is an estimate based on previous auction data for similar models therefore this price might vary depending on the final winning bid at the auction, contact us for more information or clarification",JPY,2695733.00,SUV,Foreign Used,Japan,2WD,81000,KM,black,KES,177750.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-29_at_22.00.06.jpeg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Plastic', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': False, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 350, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 220, 'acceleration': 6.5, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 2, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 13}",direct_import_stock,Available,Excellent,KES,1254267.00,45.0,True,audi-q5-s-line-s3rgore,+254737665566,6
1579,"{'id': 208, 'name': 'Q7', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-25T11:12:40.152766Z,2023-08-28T12:48:18.822490Z,Audi Q7,"Panoramic sunroof,multifunctional steering wheel,front powered seats,leather seats,adaptive cruise control,powered tailgate",KES,7399999.00,SUV,Foreign Used,"Nairobi, Kenya",AWD,75315,KM,Black,KES,108000.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG_8179.jpeg,"{'sunroof': True, 'cool_box': False, 'trimming': 'Wood', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Android Auto', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': False, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 450, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 3000, 'horse_power': 201, 'acceleration': 6, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 2, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 9, 'fuel_tank_capacity': None, 'highway_consumption': 12}",available,Available,Excellent,USD,,,True,audi-q7-oinlu5r,+254737665566,6
1567,"{'id': 26, 'name': 'A4', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-24T07:26:06.593433Z,2023-08-31T17:27:59.775236Z,Audi A4,"Steering controls,electric parking brake,daytime running lights,fog lights, leather seats,front electric adjustable seats,automatic climate control.",KES,1200000.00,Saloon,Kenyan Used,Nairobi,2WD,96401,KM,Black,KES,54000.00,2010,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-23_at_11.55.07_AM.jpeg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 300, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 1800, 'horse_power': 184, 'acceleration': 9, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 5, 'hill_descent_control': False, 'road_sign_recognition': True, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 13}",sell_on_behalf,Sold,Very Good,USD,,,True,audi-l2l7fvp,+254737665566,5
1559,"{'id': 26, 'name': 'A4', 'make': {'id': 1, 'name': 'Audi'}}",2023-08-23T08:16:16.830542Z,2023-08-23T08:22:23.303775Z,Audi A4 Quattro,"Registration ;2016/July

Cruise control, multifunctional steering wheel, electric parking brake,Audi MMI infotainment system,radar guided cruise control,multizone air-conditioning.",JPY,1990389.00,Saloon,Foreign Used,Japan,AWD,68000,KM,Brown,KES,141885.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/WhatsApp_Image_2023-08-21_at_8.45.33_PM.jpeg,"{'sunroof': True, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bose', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Multi Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 220, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': '', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 220, 'acceleration': 320, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': None, 'hill_descent_control': False, 'road_sign_recognition': True, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': True, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 13}",direct_import_stock,Available,Excellent,KES,1162611.00,45.0,True,audi-a4-quattro-kevoyxl,+254737665566,8
