id,model,created_at,updated_at,name,description,price_currency,price,global_market_price_currency,global_market_price,body_type,source,current_location,drive,mileage,mileage_unit,color,annual_insurance_currency,annual_insurance,year_of_manufacture,thumbnail,interior_features,engine_specifications,safety_features,fuel_consumption,availability,purchase_status,condition,duty_and_clearance_fee_currency,duty_and_clearance_fee,estimated_arrival_days,is_published,slug,agent_whatsapp_contact,uploaded_by
2683,"{'id': 175, 'name': 'Q3', 'make': {'id': 1, 'name': 'Audi'}}",2023-12-06T15:26:05.757467Z,2023-12-06T15:27:52.473535Z,Audi Q3 2.0L Quattro S-LINE,"Typ 8U Audi Q3 is at its 2nd gen with the 1st Gen being produced at 2011. The Q3 received a LCI in 2014 for cars sold in 2015. Another update was done in 2015 with improvements of front and rear parking sensors, full LED lights, and improvements in front lights and grille. The 2.0L Quattro spec takes its load easily as it runs power figures of 197hp and 280Nm of torque to all 4 wheels.",KES,3149999.00,USD,,SUV,Foreign Used,"Nairobi, Kenya.",AWD,114499,KM,White,KES,141750.00,2016,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231206-WA0153.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Premium Surround System', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Semi Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 280, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 197, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': True, 'adaptive_cruise_control': False, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 12}",available,Available,Very Good,USD,,,True,audi-q3-20l-quattro-s-line-svqxbci,+254737665566,10
2676,"{'id': 235, 'name': 'S4', 'make': {'id': 1, 'name': 'Audi'}}",2023-12-06T09:27:46.583483Z,2023-12-06T09:31:50.277869Z,Audi S4 3.0 TURBO V6,"S4 performs close to the SQ5 that runs a similar engine specs but fitted with a Supercharger different from Audi S4's turbocharger. The 3.0L turbocharged petrol V6 engine runs 354hp and 500Nm of torque. It has bucket styled seats, Bang & Olufsen premium surround sound system, radar guided adaptive cruise control, digital cluster display, quad exhaust tailpipes.",KES,6443000.00,USD,,Saloon,Foreign Used,Japan,AWD,49000,KM,Blue,KES,289935.00,2017,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231206-WA0071.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Bang & Olufsen', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': True, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 500, 'cylinders': 6, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 3000, 'horse_power': 354, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 9, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 8, 'fuel_tank_capacity': None, 'highway_consumption': 10}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-s4-30-turbo-v6-3smoyiy,+254716770077,10
2671,"{'id': 175, 'name': 'Q3', 'make': {'id': 1, 'name': 'Audi'}}",2023-12-05T18:52:31.691432Z,2023-12-05T18:54:05.157581Z,Audi Q3 1.4T,"AUCTION STOCK!! ON AUCTION
FRIDAY 8TH DECEMBER, 2023!
GRADE 4.5B

Registration: 2017

Fabric seats, premium sound system, Multifunctional steering wheel, dual zone climate controls, parking sensors, engine immobilizer, and traction control.",KES,3085000.00,USD,,SUV,Foreign Used,Japan,2WD,33000,KM,Grey,KES,138825.00,2017,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231205-WA0173.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Premium Surround System', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Fabric', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': False, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 250, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 1400, 'horse_power': 150, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': True, 'adaptive_cruise_control': False, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 14, 'fuel_tank_capacity': None, 'highway_consumption': 16}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-q3-14t-m2wfbzx,+254716770077,10
2659,"{'id': 12, 'name': 'Q5', 'make': {'id': 1, 'name': 'Audi'}}",2023-12-04T20:58:35.928932Z,2023-12-04T21:00:00.872184Z,Audi Q5 2.0T QUATTRO S-LINE,"AUCTION STOCK!! ON AUCTION
WEDNESDAY 6TH DECEMBER, 2023!
GRADE 4.5B

Registration: 2017

Quattro All wheel drive system, half leather seats, Multifunctional steering wheel, Bang & Olufsen premium surround sound system, dual zone climate controls, digital instrument cluster adaptive cruise control, Blindspot monitoring assist, and Lane keep assist.",KES,5185000.00,USD,,SUV,Foreign Used,Japan,AWD,25000,KM,Black,KES,233325.00,2017,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231204-WA0272.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Bang & Olufsen', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Semi Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': True, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 370, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 252, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 9, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': True, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 12}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-q5-20t-quattro-s-line-ztlkrkx,+254716770077,10
2634,"{'id': 12, 'name': 'Q5', 'make': {'id': 1, 'name': 'Audi'}}",2023-12-01T14:16:32.798133Z,2023-12-01T14:18:35.500223Z,"Audi Q5 2.0T QUATTRO ""Typ 80A""","ENROUTE TO MOMBASA.
It is important to note that the 2nd Gen Audi Q5 Typ 80A shares a platform with the A4 and A5 B9 versions, the Audi MLB Evo platform. Some would refer the Q5 2nd Gen as the B9 because of the platform. This has leather seats with heating functionality, parking sensors, Audi drive select, Audi MMI Infotainment sytem, and a multifunctional steering wheel as some of its specs!",KES,5349999.00,USD,,SUV,Foreign Used,High seas,AWD,59000,KM,White,KES,240750.00,2017,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231201-WA0136.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Premium Surround System', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': True, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 370, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 252, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 12}",available,Available,Very Good,USD,,45.0,True,audi-q5-20t-quattro-typ-80a-gajdchd,+254737665566,10
2593,"{'id': 12, 'name': 'Q5', 'make': {'id': 1, 'name': 'Audi'}}",2023-11-29T07:54:10.367272Z,2023-12-04T21:43:30.545127Z,Audi Q5 2.0T QUATTRO /SUNROOF,"AUCTION STOCK!! ON AUCTION
THURSDAY 30TH NOVEMBER, 2023!
GRADE 4.5B

Registration: 2017

Black leather seats, Multifunctional steering wheel, Panoramic sunroof, Quattro AWD setup, Premium surround sound system, dual zone climate control, and Adaptive cruise control.",KES,4399999.00,USD,,SUV,Foreign Used,Japan,AWD,46000,KM,Grey,KES,198000.00,2017,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231127-WA0277_nNUnBSD.jpg,"{'sunroof': True, 'cool_box': False, 'trimming': 'Wood', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Premium Surround System', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 350, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 220, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 12}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-q5-20t-quattro-sunroof-1kokigq,+254716770077,10
2591,"{'id': 5, 'name': 'A6', 'make': {'id': 1, 'name': 'Audi'}}",2023-11-28T14:59:20.971984Z,2023-11-28T15:02:58.279720Z,Audi A6 2.0L TFSI,"A White-brown coloured A6, on the outside is a White factory paint, and on the interior are brown leather seats. Quite a color spec. It is fitted with an Audi MMI Infotainment system, dual zone climate controls, leather seats, and a dual exhaust tailpipe.",KES,2049999.00,USD,,Saloon,Kenyan Used,"Nairobi, Kenya.",2WD,125719,KM,White,KES,92250.00,2012,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231128-WA0273.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Wood', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Factory Sound system', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 320, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 2000, 'horse_power': 180, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': True, 'adaptive_cruise_control': False, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': True, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 10, 'fuel_tank_capacity': None, 'highway_consumption': 12}",sell_on_behalf,Available,Average,USD,,,True,audi-a6-20l-tfsi-dixlcxk,+254737665566,10
2587,"{'id': 27, 'name': 'A3', 'make': {'id': 1, 'name': 'Audi'}}",2023-11-28T13:09:44.580136Z,2023-12-04T21:44:25.433358Z,Audi A3 1.4T Hatchback,"Best Import deal on the A3! Specced with a 1.4L Turbocharged Petrol Engine driving the front wheels, Audi MMI infotainment system, Cloth/Fabric seats, Multifunctional steering wheel, dual zone climate controls, and rear mounted spoiler.",KES,2343000.00,UGX,46737000.00,Hatchback,Foreign Used,Japan,2WD,68000,KM,Red,KES,105435.00,2017,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231127-WA0258.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': False, 'sound_system': 'Premium Surround System', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Fabric', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': False, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': False, 'steering_mounted_paddle_shifts': False, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 250, 'cylinders': 4, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 1400, 'horse_power': 150, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': True, 'adaptive_cruise_control': False, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': False, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 14, 'fuel_tank_capacity': None, 'highway_consumption': 16}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-a3-14t-hatchback-jg0wzgq,+254716770077,10
2582,"{'id': 1, 'name': 'SQ5', 'make': {'id': 1, 'name': 'Audi'}}",2023-11-28T12:00:35.666341Z,2023-12-04T21:47:05.256676Z,Audi SQ5 3.0T V6 QUATTRO,"AUCTION STOCK!! ON AUCTION
THURSDAY 30TH NOVEMBER, 2023!
GRADE 4.5B

Registration: 2021

Quattro AWD setup, Powered heated, half leather seats, Multifunctional steering wheel, Bang & Olufsen premium surround sound system, dual zone climate controls, adaptive cruise control, Blindspot Monitoring Assist, and Lane keep assist.",KES,9952203.00,UGX,191565000.00,SUV,Foreign Used,Japan,AWD,26000,KM,Black,KES,447850.00,2021,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231128-WA0131.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bang & Olufsen', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Semi Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': True, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 500, 'cylinders': 6, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 3000, 'horse_power': 354, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 9, 'fuel_tank_capacity': None, 'highway_consumption': 11}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-sq5-30t-v6-quattro-7wgj27t,+254716770077,10
2581,"{'id': 1, 'name': 'SQ5', 'make': {'id': 1, 'name': 'Audi'}}",2023-11-28T11:47:59.876334Z,2023-12-04T21:47:32.189564Z,Audi SQ5 3.0T V6 QUATTRO,"The new series of Audi SQ5 3.0T V6 QUATTRO that was Facelifted in 2017. This is the Type FY. It is specced with a digital instrument cluster, Blindspot Monitoring Assist, lane keep assist, Traction control, Bang & Olufsen premium surround sound system, powered heated half leather seats, Quattro All Wheel drive setup, and an 8 Speed automatic transmission.",KES,5980077.00,UGX,115000000.00,SUV,Foreign Used,Japan,AWD,72000,KM,White,KES,269105.00,2018,https://dashboard.kaiandkaro.com/media/vehicles/thumbnails/IMG-20231128-WA0124.jpg,"{'sunroof': False, 'cool_box': False, 'trimming': 'Polished Metal', 'cooled_seats': False, 'heated_seats': True, 'sound_system': 'Bang & Olufsen', 'massage_seats': False, 'power_windows': True, 'seat_material': 'Leather', 'number_of_seats': 5, 'air_conditioning': 'Dual Zone', 'powered_tailgate': True, 'soft_close_doors': False, 'steering_controls': True, 'third_row_seating': False, 'phone_connectivity': True, 'rear_entertainment': False, 'auto_start_and_stop': True, 'infotainment_system': 'Audi MM1 infotainment', 'cigarette_lighter_port': False, 'isofix_child_seat_anchors': True, 'digital_instrument_cluster': True, 'steering_mounted_paddle_shifts': True, 'apple_car_play_and_android_auto': True, 'fm_radio_with_bluetooth_aux_and_usb': True, 'keyless_entry_and_push_button_start': True}","{'torque': 500, 'cylinders': 6, 'fuel_type': 'Petrol', 'aspiration': 'Turbo/Supercharger', 'speed_unit': 'Km/hr', 'engine_size': 3000, 'horse_power': 354, 'acceleration': 8, 'self_driving': False, 'self_parking': False, 'transmission': 'Automatic'}","{'gps_tracker': True, 'night_vision': False, 'srs_air_bags': True, 'reverse_camera': True, 'head_up_display': False, 'lane_assistance': True, 'parking_sensors': True, 'tow_hitch_assist': False, 'number_of_airbags': 8, 'hill_descent_control': False, 'road_sign_recognition': False, 'roll_stability_control': False, 'standard_cruise_contol': False, 'adaptive_cruise_control': True, 'antilock_braking_system': True, 'emergency_braking_assist': True, 'blind_spot_warning_assist': True, 'immobilizer_and_anti_theft': True, 'automatic_brake_hold_system': False, 'electronic_stability_control': False, 'tyre_pressure_monitoring_system': False, 'electronic_brakeforce_distribution': True}","{'fuel_unit': 'Litre', 'urban_consumption': 9, 'fuel_tank_capacity': None, 'highway_consumption': 11}",direct_import_stock,Available,Very Good,USD,,45.0,True,audi-sq5-30t-v6-quattro-bm22irt,+254716770077,10
